year,DJF
1867,-2.53E-02
1868,-0.463
1869,-0.548333
1870,0.555
1871,-0.850667
1872,1.59233
1873,2.12933
1874,0.652
1875,0.606667
1876,0.532333
1877,-0.925667
1878,-1.57033
1879,1.50133
1880,0.377
1881,-0.613
1882,-0.109
1883,0.192
1884,-1.26167
1885,-1.082
1886,8.47E-02
1887,1.22067
1888,-6.53E-02
1889,-1.14967
1890,1.848
1891,0.340667
1892,-0.515667
1893,0.620667
1894,0.874
1895,0.408667
1896,-0.185333
1897,-1.32467
1898,0.722333
1899,0.867333
1900,-0.687667
1901,-0.204333
1902,0.357
1903,-0.885667
1904,1.52833
1905,-0.914333
1906,-0.957
1907,0.212667
1908,0.166667
1909,-0.468
1910,0.811667
1911,0.657333
1912,-1.06967
1913,-0.682
1914,-0.481333
1915,-1.04533
1916,0.342667
1917,1.02133
1918,1.813
1919,-1.273
1920,-0.410667
1921,0.889
1922,0.791
1923,0.701333
1924,-0.181667
1925,0.75
1926,-1.02233
1927,0.368667
1928,0.161
1929,1.54267
1930,0.840333
1931,-0.415
1932,0.218
1933,-0.21
1934,0.456
1935,-9.90E-02
1936,-0.301333
1937,0.105667
1938,0.535
1939,1.27267
1940,-0.562667
1941,-2.037
1942,-1.03033
1943,1.072
1944,-0.569333
1945,0.444333
1946,0.200667
1947,-0.637
1948,-0.121333
1949,-0.510333
1950,0.962
1951,1.41833
1952,-0.884
1953,-0.664667
1954,-0.185667
1955,0.647333
1956,1.056
1957,0.354
1958,-1.03567
1959,-1.09133
1960,0.173667
1961,0.263
1962,0.870667
1963,0.320667
1964,-0.668667
1965,-0.336
1966,-0.623
1967,0.705333
1968,0.156333
1969,-0.694333
1970,-0.744
1971,1.169
1972,0.382333
1973,-1.12167
1974,1.804
1975,-0.103333
1976,1.47533
1977,-7.53E-02
1978,-1.44667
1979,-1.80E-02
1980,-0.212667
1981,-0.135333
1982,0.412667
1983,-3.10033
1984,7.80E-02
1985,1.99E-08
1986,-0.111667
1987,-1.268
1988,-0.540667
1989,1.06833
1990,-0.872667
1991,2.00E-03
1992,-1.971
1993,-0.867667
1994,-7.77E-02
1995,-0.755
1996,2.60E-02
1997,0.736
1998,-1.87467
1999,1.16
2000,1.02567
2001,0.852
2002,-6.97E-02
2003,-0.833333
2004,0.130333
2005,-1.241
2006,0.397
2007,-0.533667
2008,1.69033
2009,1.21633
2010,-1.22067
2011,2.34167
2012,1.18967
2013,-0.450667
2014,0.272
2015,-0.522333
2016,-1.73767
2017,-2.03E-02
2018,-2.70E-02
2019,-0.222667
2020,-0.343667
2021,1.47333
2022,0.840667
2023,1.39267